nombre,genero,fuente,ultimo_caracter,,
DIANA MARINA,FEMENINO,TUNJA,A,,
DIANA MARCELA,FEMENINO,TUNJA,A,,
LAURA MARCELA,FEMENINO,TUNJA,A,,
LUDY MIREYA,FEMENINO,TUNJA,A,,
LAURA CATALINA,FEMENINO,TUNJA,A,,
DELSY RUBIELA,FEMENINO,TUNJA,A,,
JENNY CAROLINA,FEMENINO,TUNJA,A,,
LAURA MELISSA,FEMENINO,TUNJA,A,,
ZAYDA YULINA,FEMENINO,TUNJA,A,,
DIANA CAROLINA,FEMENINO,TUNJA,A,,
MARIA ALEJANDRA,FEMENINO,TUNJA,A,,
TATIANA PAOLA,FEMENINO,TUNJA,A,,
LIDA MARCELA,FEMENINO,TUNJA,A,,
MARIA CUSTODIA,FEMENINO,TUNJA,A,,
BLANCA CECILIA,FEMENINO,TUNJA,A,,
LILIANA CAROLINA,FEMENINO,TUNJA,A,,
AURELIANA,FEMENINO,TUNJA,A,,
LUZ ELVIRA,FEMENINO,TUNJA,A,,
PAOLA ANDREA,FEMENINO,TUNJA,A,,
ANA OLIDIA,FEMENINO,TUNJA,A,,
NUBIA MARINA,FEMENINO,TUNJA,A,,
ANDREA,FEMENINO,TUNJA,A,,
LAURA DANIELA,FEMENINO,TUNJA,A,,
ANA CECILIA,FEMENINO,TUNJA,A,,
CLAUDIA LILIANA,FEMENINO,TUNJA,A,,
ANGELICA MARIA,FEMENINO,TUNJA,A,,
MARIA ESPERANZA,FEMENINO,TUNJA,A,,
DEISY MARCELA,FEMENINO,TUNJA,A,,
VIVIANA,FEMENINO,TUNJA,A,,
LEIDY ESPERANZA,FEMENINO,TUNJA,A,,
MARIA CRISTINA,FEMENINO,TUNJA,A,,
SONIA FERNANDA,FEMENINO,TUNJA,A,,
LILIANA,FEMENINO,TUNJA,A,,
MARIA PAULA,FEMENINO,TUNJA,A,,
ADELINA,FEMENINO,TUNJA,A,,
ANA DORCINDA,FEMENINO,TUNJA,A,,
SONIA PATRICIA,FEMENINO,TUNJA,A,,
KARET LUCIA,FEMENINO,TUNJA,A,,
LAURA XIMENA,FEMENINO,TUNJA,A,,
LUCILA,FEMENINO,TUNJA,A,,
ELSA BETULIA,FEMENINO,TUNJA,A,,
MARLEN ELVIRA,FEMENINO,TUNJA,A,,
NINIAN JOHANNA,FEMENINO,TUNJA,A,,
MARIA FLORINDA,FEMENINO,TUNJA,A,,
KAREN YELITSA,FEMENINO,TUNJA,A,,
LAURA JUANITA,FEMENINO,TUNJA,A,,
ANA,FEMENINO,TUNJA,A,,
SANDRA MILENA,FEMENINO,TUNJA,A,,
XIMENA,FEMENINO,TUNJA,A,,
MAYERLY ALEJANDRA,FEMENINO,TUNJA,A,,
SANDRA PATRICIA,FEMENINO,TUNJA,A,,
NELCY YOLANDA,FEMENINO,TUNJA,A,,
DIANA CAROLINA,FEMENINO,TUNJA,A,,
DANNIA VANESA,FEMENINO,TUNJA,A,,
MONICA,FEMENINO,TUNJA,A,,
LUZ ADRIANA,FEMENINO,TUNJA,A,,
LAURA,FEMENINO,TUNJA,A,,
LEYDY CAROLINA,FEMENINO,TUNJA,A,,
YINA PAOLA,FEMENINO,TUNJA,A,,
ELSA ESPERANZA,FEMENINO,TUNJA,A,,
VIVIANA EUGENIA,FEMENINO,TUNJA,A,,
MARTHA ELENA,FEMENINO,TUNJA,A,,
MONICA PATRICIA,FEMENINO,TUNJA,A,,
ANA SOFIA,FEMENINO,TUNJA,A,,
MARIA,FEMENINO,TUNJA,A,,
LAURA MARIA,FEMENINO,TUNJA,A,,
AMANDA ELVIRA,FEMENINO,TUNJA,A,,
JOHANA ANDREA,FEMENINO,TUNJA,A,,
CLAUDIA MARCELA,FEMENINO,TUNJA,A,,
CARMEN ROSA,FEMENINO,TUNJA,A,,
PAULA ANDREA,FEMENINO,TUNJA,A,,
YESSICA,FEMENINO,TUNJA,A,,
JIMENA ALEJANDRA,FEMENINO,TUNJA,A,,
ADRIANA STELLA,FEMENINO,TUNJA,A,,
OLGA LUCIA,FEMENINO,TUNJA,A,,
LAURA XIMENA,FEMENINO,TUNJA,A,,
ADRIANA PATRICIA,FEMENINO,TUNJA,A,,
SANDRA MILENA,FEMENINO,TUNJA,A,,
LEIDY TATIANA,FEMENINO,TUNJA,A,,
DELFINA,FEMENINO,TUNJA,A,,
ANA MARIA,FEMENINO,TUNJA,A,,
YULI XIMENA,FEMENINO,TUNJA,A,,
LUZ MILA,FEMENINO,TUNJA,A,,
VIVIANA,FEMENINO,TUNJA,A,,
SANDRA PATRICIA,FEMENINO,TUNJA,A,,
MARIA CRISTINA,FEMENINO,TUNJA,A,,
FABIOLA MARCELA,FEMENINO,TUNJA,A,,
ANGIE ALEJANDRA,FEMENINO,TUNJA,A,,
NAYLA VANNESA,FEMENINO,TUNJA,A,,
MAYERLY PAOLA,FEMENINO,TUNJA,A,,
SONIA CAROLINA,FEMENINO,TUNJA,A,,
LEONOR PATRICIA,FEMENINO,TUNJA,A,,
SANDRA LORENA,FEMENINO,TUNJA,A,,
YEIMY FERNANDA,FEMENINO,TUNJA,A,,
ERIKA LORENA,FEMENINO,TUNJA,A,,
ANGIE DAYHANA,FEMENINO,TUNJA,A,,
YAMILE EDILSA,FEMENINO,TUNJA,A,,
GLADYS LUCIA,FEMENINO,TUNJA,A,,
NORDA FERNANDA,FEMENINO,TUNJA,A,,
FABIOLA ALICIA,FEMENINO,TUNJA,A,,
ALEXI LUDIVIA,FEMENINO,TUNJA,A,,
DORIS YOLANDA,FEMENINO,TUNJA,A,,
ERIKA YESENIA,FEMENINO,TUNJA,A,,
DIANA PAOLA,FEMENINO,TUNJA,A,,
MONICA PATRICIA,FEMENINO,TUNJA,A,,
ANGIE PAOLA,FEMENINO,TUNJA,A,,
NURY CAROLINA,FEMENINO,TUNJA,A,,
SELENE CAROLINA,FEMENINO,TUNJA,A,,
LYANNE CAMILA,FEMENINO,TUNJA,A,,
LEIDY TATIANA,FEMENINO,TUNJA,A,,
DIANA CAROLINA,FEMENINO,TUNJA,A,,
GLORIA MILENA,FEMENINO,TUNJA,A,,
ADRIANA LUCIA,FEMENINO,TUNJA,A,,
LUISA FERNANDA,FEMENINO,TUNJA,A,,
GLORIA ESPERANZA,FEMENINO,TUNJA,A,,
YULY ALEJANDRA,FEMENINO,TUNJA,A,,
YULY TATIANA,FEMENINO,TUNJA,A,,
AHIDA FABIOLA,FEMENINO,TUNJA,A,,
LEIDY PATRICIA,FEMENINO,TUNJA,A,,
MARITZA ESMERALDA,FEMENINO,TUNJA,A,,
DEISY CAROLINA,FEMENINO,TUNJA,A,,
JULANA,FEMENINO,TUNJA,A,,
SANDRA MARCELA,FEMENINO,TUNJA,A,,
ANNY CAMILA,FEMENINO,TUNJA,A,,
YINA ALEXANDRA,FEMENINO,TUNJA,A,,
ANDREA LILIANA,FEMENINO,TUNJA,A,,
CARMEN TERESA,FEMENINO,TUNJA,A,,
KAREN TATIANA,FEMENINO,TUNJA,A,,
MARIA ERICA,FEMENINO,TUNJA,A,,
LIZETH TATIANA,FEMENINO,TUNJA,A,,
YEIMY ELIANA,FEMENINO,TUNJA,A,,
ANGELICA MARIA,FEMENINO,TUNJA,A,,
ANDREA JIMENA,FEMENINO,TUNJA,A,,
SANDRA LILIANA,FEMENINO,TUNJA,A,,
ANA ELVIA,FEMENINO,TUNJA,A,,
GLORIA SANDRA,FEMENINO,TUNJA,A,,
RUBY CAROLINA,FEMENINO,TUNJA,A,,
LESDY MARCELA,FEMENINO,TUNJA,A,,
PAOLA ANDREA,FEMENINO,TUNJA,A,,
YOLANDA ESPERANZA,FEMENINO,TUNJA,A,,
GINA PAOLA,FEMENINO,TUNJA,A,,
GINA MARCELA,FEMENINO,TUNJA,A,,
DIANA MARITZA,FEMENINO,TUNJA,A,,
YEIMY CAROLINA,FEMENINO,TUNJA,A,,
YENNY VIVIANA,FEMENINO,TUNJA,A,,
HORTENCIA,FEMENINO,TUNJA,A,,
CLAUDIA MARCELA,FEMENINO,TUNJA,A,,
LIDA PAOLA,FEMENINO,TUNJA,A,,
GLADYS PATRICIA,FEMENINO,TUNJA,A,,
PAOLA ANDREA,FEMENINO,TUNJA,A,,
ROSA ELENA,FEMENINO,TUNJA,A,,
MARIA CRISTINA,FEMENINO,TUNJA,A,,
RUTH ALEJANDRA,FEMENINO,TUNJA,A,,
DIANA LORENA,FEMENINO,TUNJA,A,,
DIANA MILENA,FEMENINO,TUNJA,A,,
NUVIA ESPERANZA,FEMENINO,TUNJA,A,,
GELWY PATRICIA,FEMENINO,TUNJA,A,,
ERIKA TATIANA,FEMENINO,TUNJA,A,,
NYDIA ESPERANZA,FEMENINO,TUNJA,A,,
SANDRA MILENA,FEMENINO,TUNJA,A,,
CINDY TATIANA,FEMENINO,TUNJA,A,,
ANGELICA MARIA,FEMENINO,TUNJA,A,,
MARIA FERNANDA,FEMENINO,TUNJA,A,,
EDNA SOBEIDA,FEMENINO,TUNJA,A,,
MARIA ESTELA,FEMENINO,TUNJA,A,,
