id,PRIMER_NOMBRE
201910,DAHIANA
302579,BIENVENIDO
315159,AMADOR
315373,BERGEN
316152,JHEISY
316924,SOLFAIR
317010,ARNOBIS
317585,GUNTHER
319709,EUCLIDEZ
322019,KRYSTYNA
322473,HERSSAN
323436,REFUGIO
327418,PALACIO
327526,ROMAIRO
328105,DURIEN
328279,ABADESA
329658,LAIMAER
333711,ARGLEN
334511,SASESP
340950,CRUZ
345998,ALKIVAR
346078,EUTIQUIO
350569,NEREO
351565,INDETERMINADOS
351888,INDETERMINADOS
352158,INDETERMINADOS
352988,INDETERMINADOS
353155,SIC
353643,INDETERMINADOS
353861,FRANCELA
354686,SASHIA
356742,MAGNOLIAS
365887,ROGENCE
368673,ELLENSOL
369134,MILITINA
370594,ADALGIZA
371027,DELIS
371092,MERARI
372552,ENAURIS
374961,MALORY
374962,CLARETH
375252,CENIR
375597,JORLY
375730,ILDUARA
378474,AZENEIDA
382482,YARLENYS
384958,TORIBIO
384959,TORIBIO
386090,DIONALBER
387539,CONRADO
392174,KELLYN
394238,GERALDYN
397850,MARBIN
397852,MARBIN
400291,TARSILA
400583,LEYDE
415425,ASLITH
487740,PAREJA
488904,DORIAN
491680,SABINIANO
497520,EUFRASIO
498821,DAVISON
499273,FINANCE
499341,FINANCE
499400,FINANCE
499404,FINANCE
499789,SECCIONAL
499896,TERENCIO
502126,GUILLER
508649,CC
511225,BRANDON
512126,CONRADO
523487,RIONEGRO
541081,ANLLY
553307,AGRIPINA
555032,LEIDERMAN
556790,YENORIS
556957,HARRIS
556961,EDELSI
557403,VALERIE
557745,YEINNYS
557955,ENEUDIS
558376,LIANIS
559207,TIBINSON
559354,MARILDA
559892,BIENVENIDO
561196,MELQUI
561889,DAYANIS
562299,FALCONERY
563080,YADINTON
563763,YASMIRIS
563859,FALCONERY
563882,WIL
564408,MIGUELINA
565142,VIDAL
565312,TORIBIO
565501,TEODOMIRO
566026,JOSIAS
568240,URABA
570881,TEDIE
572837,MARICELY
577451,DAVINSON
587863,BERTINA
589157,MARIGINIA
594370,DAHIANA
595417,EUTIMIO
600117,JHARE
619544,PASCASIO
619745,JULVER
619851,ILDORFO
619986,OTALVARO
620025,LAETITIA
628822,BLEAR
631725,SOBEIDA
631873,HERMENEGILDO
658760,MARDARY
664593,HITLER
665309,FLORISENY
666992,FINANCE
669670,FALCO
670611,NORALDO
671753,MARGOD
672907,ROSADELA
683188,MARCIN
684560,ITAGUI
687590,PBRO
688002,CALLEJAS
688416,MEILIN
688446,MEILIN
706454,FLAUBERT
708158,OKAN
722050,MANESES
728151,MARKUS
740447,CONRADO
769631,GOBAR
777306,EGNIRIA
777307,EGNIRIA
778334,MC
781872,DIONY
782086,HUILSON
782401,UBENIDE
782596,DABINSON
783639,SOREDIS
783654,SOREDIS
783675,YOVERNEY
783704,SOREDIS
794376,SULEIDI
806359,DAHIANA
812791,CONRADO
812859,MALLELY
814019,LILLYAM
816358,ILDIMER
816661,NATAN
816798,NAZARENO
817244,WBERLID
817373,YINARY
818516,MUNICIPALES
818814,LUZMAN
819157,RENTAS
819810,KATIEN
819900,ELUMINADO
