PRIMER_NOMBRE,TOTAL,PREDICCION
JOSE,59298,HOMBRE
LUIS,47998,HOMBRE
MARIA,36834,MUJER
JUAN,35572,HOMBRE
CARLOS,30176,HOMBRE
JORGE,21830,HOMBRE
DIANA,15006,MUJER
ANDRES,12518,HOMBRE
OSCAR,11350,HOMBRE
JESUS,10966,HOMBRE
ANA,10750,MUJER
JAIME,10662,HOMBRE
PEDRO,10564,HOMBRE
DIEGO,10217,HOMBRE
LUZ,10050,MUJER
HECTOR,9108,HOMBRE
MIGUEL,9039,HOMBRE
ALVARO,8928,HOMBRE
LAURA,8897,MUJER
SANDRA,8126,MUJER
JAIRO,8013,HOMBRE
DANIEL,7997,HOMBRE
MANUEL,7903,HOMBRE
LEIDY,7613,MUJER
VICTOR,7495,HOMBRE
GUSTAVO,7386,HOMBRE
JULIO,7203,HOMBRE
JHON,6979,HOMBRE
RAFAEL,6622,HOMBRE
FRANCISCO,6557,HOMBRE
JOHN,6308,HOMBRE
JAVIER,6217,HOMBRE
DAVID,6086,HOMBRE
MARTHA,6074,MUJER
CLAUDIA,6059,MUJER
CESAR,5900,HOMBRE
WILLIAM,5696,HOMBRE
EDGAR,5607,HOMBRE
LINA,5560,MUJER
JULIAN,5440,HOMBRE
GUILLERMO,5425,HOMBRE
,5370,
ANTONIO,5309,HOMBRE
CRISTIAN,5275,HOMBRE
RICARDO,5145,HOMBRE
FERNANDO,5027,HOMBRE
MARIO,5025,HOMBRE
GERMAN,4968,HOMBRE
MARCO,4703,HOMBRE
NELSON,4676,HOMBRE
ALBERTO,4663,HOMBRE
HERNANDO,4641,HOMBRE
ANDREA,4635,MUJER
ANGELA,4583,MUJER
CAMILO,4499,HOMBRE
FABIO,4457,HOMBRE
ORLANDO,4359,HOMBRE
WILSON,4341,HOMBRE
MONICA,4338,MUJER
PABLO,4303,HOMBRE
GLORIA,4301,MUJER
MAURICIO,4236,HOMBRE
DANIELA,4225,MUJER
ADRIANA,4212,MUJER
EDUARDO,4158,HOMBRE
NATALIA,4131,MUJER
ALEJANDRO,4101,HOMBRE
ALFONSO,4079,HOMBRE
LUISA,4037,MUJER
KAREN,3950,MUJER
SANTIAGO,3945,HOMBRE
GABRIEL,3899,HOMBRE
SERGIO,3814,HOMBRE
HERNAN,3711,HOMBRE
EDWIN,3706,HOMBRE
IVAN,3691,HOMBRE
ANGEL,3557,HOMBRE
CAROLINA,3454,MUJER
SEBASTIAN,3441,HOMBRE
OMAR,3440,HOMBRE
PAOLA,3427,MUJER
HUMBERTO,3423,HOMBRE
HENRY,3292,HOMBRE
ANGIE,3244,MUJER
HUGO,3160,HOMBRE
RODRIGO,3049,HOMBRE
BLANCA,3044,MUJER
PAULA,3023,MUJER
NESTOR,2978,HOMBRE
RUBEN,2887,HOMBRE
ERIKA,2871,MUJER
RAUL,2865,HOMBRE
GILBERTO,2812,HOMBRE
ALEXANDER,2803,HOMBRE
ROBERTO,2759,HOMBRE
GERARDO,2747,HOMBRE
CARMEN,2740,MUJER
LEONARDO,2685,HOMBRE
ENRIQUE,2671,HOMBRE
JENNY,2620,MUJER
OLGA,2617,MUJER
NICOLAS,2602,HOMBRE
FABIAN,2562,HOMBRE
LILIANA,2539,MUJER
FREDY,2398,HOMBRE
ROSA,2380,MUJER
GONZALO,2362,HOMBRE
ANGELICA,2290,MUJER
JESSICA,2285,MUJER
CINDY,2239,MUJER
ALFREDO,2177,HOMBRE
INGRID,2159,MUJER
VIVIANA,2155,MUJER
ALEJANDRA,2136,MUJER
RAMIRO,2116,HOMBRE
RAMON,2102,HOMBRE
JULIANA,2081,MUJER
ARMANDO,2027,HOMBRE
DARIO,1976,HOMBRE
JONATHAN,1920,HOMBRE
JENNIFER,1877,MUJER
SEGUNDO,1859,HOMBRE
SARA,1854,MUJER
SAMUEL,1851,HOMBRE
ERNESTO,1789,HOMBRE
NANCY,1750,MUJER
JOHAN,1729,HOMBRE
FELIPE,1728,HOMBRE
LIBARDO,1728,HOMBRE
ELIANA,1724,MUJER
LADY,1675,MUJER
FELIX,1669,HOMBRE
EFRAIN,1651,HOMBRE
SONIA,1648,MUJER
TATIANA,1632,MUJER
VALENTINA,1622,MUJER
ELIZABETH,1607,MUJER
BERNARDO,1593,HOMBRE
MARCELA,1576,MUJER
ALBA,1570,MUJER
ALIRIO,1550,HOMBRE
ARTURO,1549,HOMBRE
BEATRIZ,1538,MUJER
CLARA,1536,MUJER
YENNY,1532,MUJER
ESP,1520,MUJER
GLADYS,1515,MUJER
KATHERINE,1515,MUJER
MARTIN,1485,HOMBRE
JOHANA,1478,MUJER
MAYRA,1465,MUJER
FLOR,1433,MUJER
JOHANNA,1428,MUJER
YEISON,1387,HOMBRE
JOAQUIN,1382,HOMBRE
ISABEL,1375,MUJER
KELLY,1375,MUJER
SAUL,1348,HOMBRE
AURA,1345,MUJER
YOLANDA,1337,MUJER
MYRIAM,1320,MUJER
BRAYAN,1312,HOMBRE
WILMER,1309,HOMBRE
EDILBERTO,1308,HOMBRE
REINALDO,1305,HOMBRE
LIZETH,1290,MUJER
CHRISTIAN,1279,HOMBRE
DEISY,1274,MUJER
CRISTHIAN,1264,HOMBRE
CATALINA,1252,MUJER
PATRICIA,1242,MUJER
MILTON,1239,HOMBRE
YULY,1231,MUJER
ELKIN,1226,HOMBRE
ROBINSON,1213,HOMBRE
LORENA,1202,MUJER
MARGARITA,1187,MUJER
JULIETH,1165,MUJER
ABELARDO,1164,HOMBRE
CIRO,1163,HOMBRE
VANESSA,1157,MUJER
GINA,1149,MUJER
ADOLFO,1148,HOMBRE
MARTA,1133,MUJER
NUBIA,1115,MUJER
ALEXANDRA,1111,MUJER
RODOLFO,1110,HOMBRE
ALONSO,1106,HOMBRE
MARIANA,1106,MUJER
LEONEL,1100,HOMBRE
ESTEBAN,1093,HOMBRE
DORA,1077,MUJER
BENJAMIN,1049,HOMBRE
ISMAEL,1045,HOMBRE
YESICA,1043,MUJER
EDISON,1038,HOMBRE
VICENTE,1036,HOMBRE
LEYDI,1033,MUJER
HAROLD,1027,HOMBRE
SINDY,1022,MUJER
YULI,1020,MUJER
OCTAVIO,1015,HOMBRE
CAMILA,1001,MUJER
ISRAEL,983,HOMBRE
HERIBERTO,957,HOMBRE
KEVIN,950,HOMBRE
WALTER,935,HOMBRE
SILVIA,931,MUJER
ANIBAL,928,HOMBRE
ARNULFO,927,HOMBRE
VERONICA,925,MUJER
EDNA,924,MUJER
MARY,920,MUJER
RUTH,920,MUJER
MISAEL,919,HOMBRE
MARISOL,915,MUJER
URIEL,914,HOMBRE
GILDARDO,910,HOMBRE
JHONATAN,900,HOMBRE
ANDERSON,890,HOMBRE
NELLY,881,MUJER
YURY,872,HOMBRE
RIGOBERTO,871,HOMBRE
HORACIO,869,HOMBRE
YURI,869,MUJER
WILMAR,852,HOMBRE
ARGEMIRO,850,HOMBRE
FRANCY,845,MUJER
MICHAEL,845,HOMBRE
CAMPO,844,MUJER
IGNACIO,839,HOMBRE
MANUELA,832,MUJER
YESID,831,HOMBRE
JAIR,827,HOMBRE
FREDDY,824,HOMBRE
ABEL,821,HOMBRE
AMPARO,818,MUJER
ELIECER,815,HOMBRE
ELIAS,814,HOMBRE
AUGUSTO,812,HOMBRE
NIDIA,812,MUJER
CECILIA,810,MUJER
SILVIO,806,HOMBRE
YESSICA,798,MUJER
