nit	empresa	fuente	nit_len
899999068	ECOPETROL S.A	1000_empresas	9.0
890200656	PALMAS DEL CESAR S.A.	1000_empresas	9.0
830095213	ORGANIZACION TERPEL S.A.	1000_empresas	9.0
900112515	REFINERIA DE CARTAGENA S.A.S.	1000_empresas	9.0
890900608	ALMACENES EXITO S A	1000_empresas	9.0
890904996	EMPRESAS PUBLICAS DE MEDELLIN ESP	1000_empresas	9.0
890100577	AEROVIAS DEL CONTINENTE AMERICANO S.A. - AVIANCA S.A.	1000_empresas	9.0
800153993	COMUNICACION CELULAR S.A.	1000_empresas	9.0
900156264	NUEVA EPS S.A.	1000_empresas	9.0
900531210	Cenit Transporte y Logistica de Hidrocarburos S.A.S.	1000_empresas	9.0
890107487	SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A	1000_empresas	9.0
800021308	DRUMMOND LTD	1000_empresas	9.0
860005224	Bavaria S.A.	1000_empresas	9.0
860002554	PRIMAX COLOMBIA S.A	1000_empresas	9.0
890900943	Colombiana de comercio S.A.	1000_empresas	9.0
860069804	CARBONES DEL CERREJON LIMITED	1000_empresas	9.0
830037248	CODENSA S.A. E.S.P.	1000_empresas	9.0
900818921	KOPPS COMMERCIAL S A S	1000_empresas	9.0
900585067	C.I. TRAFIGURA PETROLEUM COLOMBIA SAS	1000_empresas	9.0
901097473	MEDIMAS EPS SAS	1000_empresas	9.0
800251163	OLEODUCTO CENTRAL SA	1000_empresas	9.0
800088702	EPS  SURA	1000_empresas	9.0
900276962	KOBA COLOMBIA SAS	1000_empresas	9.0
900155107	Cencosud Colombia S.A	1000_empresas	9.0
830053800	TELMEX COLOMBIA S.A.	1000_empresas	9.0
860063875	EMGESA S.A. E.S.P.	1000_empresas	9.0
800242106	SODIMAC COLOMBIA SA	1000_empresas	9.0
900268747	PAREX RESOURCES COLOMBIA LTD. Sucursal	1000_empresas	9.0
860005223	CHEVRON PETROLEUM COMPANY	1000_empresas	9.0
830126302	FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA	1000_empresas	9.0
860041312	C.I. PRODECO S.A.	1000_empresas	9.0
800251440	E.P.S. SANITAS S.A.	1000_empresas	9.0
800216181	GRUPO AVAL ACCIONES Y VALORES S A	1000_empresas	9.0
900061554	GESTORA ADMINEGOCIOS Y CIA S EN C	1000_empresas	9.0
805000427	COOMEVA EPS SA	1000_empresas	9.0
800130907	SALUD TOTAL S.A. EPS	1000_empresas	9.0
811000740	ISAGEN SA ESP	1000_empresas	9.0
860025792	SOCIEDAD DE FABRICACION DE AUTOMOTORES SAS	1000_empresas	9.0
830028931	Samsung Electronics Colombia S.A.	1000_empresas	9.0
830078038	CERREJON ZONA NORTE S.A.	1000_empresas	9.0
860002304	General Motors Colmotores S.A	1000_empresas	9.0
900092385	UNE EPM TELECOMUNICACIONES  S.A.	1000_empresas	9.0
860066942	COMPENSAR	1000_empresas	9.0
830136799	BIOCOMBUSTIBLES S.A. - BIOMAX	1000_empresas	9.0
830003564	FAMISANAR  LTDA.  CAFAM - COLSUBSIDIO E.P.S.	1000_empresas	9.0
800007813	GAS NATURAL S.A. E.S.P.	1000_empresas	9.0
800059470	POLIPROPILENO DEL CARIBE S.A.	1000_empresas	9.0
900480569	JERONIM MARTINS COLOMBIA	1000_empresas	9.0
830114921	Colombia Movil S.A. E.S.P.	1000_empresas	9.0
860016610	INTERCONEXION ELECTRICA S.A. E.S.P. (ISA)	1000_empresas	9.0
900473830	GUNVOR COLOMBIA CI SAS	1000_empresas	9.0
816001182	AUDIFARMA SA	1000_empresas	9.0
899999082	GRUPO ENERGIA BOGOTA S.A. E.S.P.	1000_empresas	9.0
890100251	CEMENTOS ARGOS S.A	1000_empresas	9.0
860074450	QUALA SA	1000_empresas	9.0
900017447	FALABELLA DE COLOMBIA S.A.	1000_empresas	9.0
811009788	DISTRACOM S.A.	1000_empresas	9.0
814000337	EMSSANAR ESS	1000_empresas	9.0
860025900	ALPINA PRODUCTOS ALIMENTICIOS S A	1000_empresas	9.0
890903939	POSTOBON SA	1000_empresas	9.0
900226715	COOSALUD S.A	1000_empresas	9.0
860516431	GRAN TIERRA ENERGY COLOMBIA LTD	1000_empresas	9.0
890901271	CONTEGRAL S.A.S	1000_empresas	9.0
890304130	ALIMENTOS CARNICOS S.A.S.	1000_empresas	9.0
800246860	EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.	1000_empresas	9.0
800149695	DROGUERIAS Y FARMACIAS CRUZ VERDE SAS	1000_empresas	9.0
900331322	VERANO ENERGY (BARBADOS) LIMITED SUCURSAL	1000_empresas	9.0
860004864	OCCIDENTAL ANDINA, LLC	1000_empresas	9.0
900882422	Mercaderia SAS	1000_empresas	9.0
860002523	CEMEX COLOMBIA S.A.	1000_empresas	9.0
860069378	Cerro Matoso S.A.	1000_empresas	9.0
830113598	ADMINEGOCIOS SAS	1000_empresas	9.0
900604350	SAVIA SALUD EPS	1000_empresas	9.0
890300466	TECNOQUIMICAS S.A.	1000_empresas	9.0
890903858	INDUSTRIA NACIONAL DE GASEOSAS S.A.	1000_empresas	9.0
860078828	COLSANITAS MEDICINA PREPAGADA SA	1000_empresas	9.0
900780510	AUTOMOTORES TOYOTA COLOMBIA SAS	1000_empresas	9.0
890301884	COLOMBINA S A	1000_empresas	9.0
860002130	NESTLE DE COLOMBIA S.A	1000_empresas	9.0
860002426	EQUION ENERGIA LIMITED	1000_empresas	9.0
804002105	COMPARTA	1000_empresas	9.0
900493698	GEOPARK COLOMBIA S.A.S.	1000_empresas	9.0
899999115	EMPRESA DE TELECOMUNICACIONES DE BTA SA ESP	1000_empresas	9.0
860072134	HOCOL S.A.	1000_empresas	9.0
890900266	GRUPO ARGOS S.A.	1000_empresas	9.0
860001307	DISTRIBUIDORA NISSAN S.A.	1000_empresas	9.0
890900291	Solla S. A.	1000_empresas	9.0
900491889	MASSER S.A.S.	1000_empresas	9.0
900477347	VITOL COLOMBIA C.I S A S	1000_empresas	9.0
860002518	UNILEVER ANDINA COLOMBIA LTDA	1000_empresas	9.0
806008394	MUTUAL SER	1000_empresas	9.0
860026895	ITALCOL SA	1000_empresas	9.0
860007277	MEXICHEM RESINAS COLOMBIA SAS	1000_empresas	9.0
900059238	MAKRO SUPERMAYORISTA S.A.S.	1000_empresas	9.0
900935126	ASMET S.A.S.	1000_empresas	9.0
890902070	C.I J. GUTIERREZ Y CIA S.A	1000_empresas	9.0
890900161	PRODUCTOS FAMILIA S A	1000_empresas	9.0
890300546	COLGATE PALMOLIVE COMPANIA	1000_empresas	9.0
860004828	ALIMENTOS FINCA S.A.S.	1000_empresas	9.0
900298372	CAPITAL SALUD EPSS S.A.S	1000_empresas	9.0
830065063	LG ELECTRONICS COLOMBIA LTDA	1000_empresas	9.0
811012271	GRUPO DE INVERSIONES SURAMERICANA S.A.	1000_empresas	9.0
890105526	PROMIGAS S.A. E.S.P.	1000_empresas	9.0
900319753	PRICESMART COLOMBIA S.A.S	1000_empresas	9.0
900703240	MAZDA DE COLOMBIA S.A.S	1000_empresas	9.0
890300406	CARTON DE COLOMBIA S A	1000_empresas	9.0
860006333	Yara Colombia S.A.	1000_empresas	9.0
900377365	OLEODUCTO BICENTENARIO DE COLOMBIA SAS	1000_empresas	9.0
800018359	BEL STAR S.A.	1000_empresas	9.0
900136638	CERVECERIA DEL VALLE S.A.	1000_empresas	9.0
890201881	AVIDESA MAC POLLO S.A.	1000_empresas	9.0
860001942	BAYER S.A.	1000_empresas	9.0
830025448	GRUPO BOLIVAR S. A.	1000_empresas	9.0
830074184	SALUDVIDA S.A. EPS	1000_empresas	9.0
890300346	ALMACENES  LA  14 S.A.	1000_empresas	9.0
891100445	ORF S.A.	1000_empresas	9.0
890101815	JOHNSON & JOHNSON DE COLOMBIA S.A	1000_empresas	9.0
805006014	Directv Colombia Ltda	1000_empresas	9.0
860002536	COMPANIA COLOMBIANA DE CERAMICA S.A.S	1000_empresas	9.0
860031606	DIANA CORPORACION SAS	1000_empresas	9.0
900553170	EMBOTELLADORA DE LA SABANA SAS	1000_empresas	9.0
860002175	SCHLUMBERGER SURENCO SA	1000_empresas	9.0
800167643	GASES DE OCCIDENTE S. A. EMPRESA DE SERVICIOS PUBLICOS	1000_empresas	9.0
900806600	RELIANZ MINING SOLUTIONS SAS	1000_empresas	9.0
805001157	SERVICIO OCCIDENTAL DE SALUD EPS SOS S.A.	1000_empresas	9.0
890920304	PepsiCo Alimentos Colombia Ltda	1000_empresas	9.0
900736182	APPLE COLOMBIA S.A.S	1000_empresas	9.0
900203441	OLEODUCTO DE LOS LLANOS ORIENTALES SA	1000_empresas	9.0
860020439	MONOMEROS COLOMBO VENEZOLANOS S.A.	1000_empresas	9.0
890900050	GRUPO NUTRESA S.A	1000_empresas	9.0
891800111	DIACO S.A.	1000_empresas	9.0
890922447	CONSTRUCCIONES EL CONDOR S.A	1000_empresas	9.0
860029995	ACERIAS PAZ DE RIO S A	1000_empresas	9.0
830078966	METROKIA S.A.	1000_empresas	9.0
860053930	OCCIDENTAL DE COLOMBIA, LLC	1000_empresas	9.0
890932389	TERNIUM COLOMBIA S.A.S.	1000_empresas	9.0
900677748	Unilever Colombia SCC S.A.S.	1000_empresas	9.0
811036030	COMPANIA NACIONAL DE CHOCOLATES S.A.S.	1000_empresas	9.0
900780755	FORD MOTOR COLOMBIA SAS	1000_empresas	9.0
800011987	Tenaris Tubocaribe Ltda	1000_empresas	9.0
890901110	CONSTRUCTORA CONCONCRETO S.A.	1000_empresas	9.0
900047822	PETROBRAS COLOMBIA COMBUSTIBLES S.A.	1000_empresas	9.0
890900317	AUTOTECNICA COLOMBIANA SAS	1000_empresas	9.0
800186960	ALTIPAL S.A.S	1000_empresas	9.0
891300382	HARINERA DEL VALLE S.A.	1000_empresas	9.0
800249313	MANSAROVAR ENERGY COLOMBIA LTD	1000_empresas	9.0
800185295	AMARILO SAS	1000_empresas	9.0
860002120	IBM DE COLOMBIA & CIA SCA	1000_empresas	9.0
860015753	COLOMBIANA KIMBERLY COLPAPEL S.A.	1000_empresas	9.0
890301886	FABRICA NACIONAL DE AUTOPARTES FANALCA S.A.	1000_empresas	9.0
891304762	ITALCOL DE OCCIDENTE SA	1000_empresas	9.0
891300237	INGENIO DEL CAUCA S.A.S.	1000_empresas	9.0
890106527	PROCAPS SA	1000_empresas	9.0
890301463	LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.	1000_empresas	9.0
830113601	ACTIUNIDOS S.A.	1000_empresas	9.0
860031028	SIEMENS SOCIEDAD ANONIMA	1000_empresas	9.0
830010337	SANOFI AVENTIS DE COLOMBIA S.A	1000_empresas	9.0
860350697	Concretos Argos S.A.	1000_empresas	9.0
830140321	HUAWEI TECHOLOGIES COLOMBIA S.A.S.	1000_empresas	9.0
900087414	RIOPAILA CASTILLA S.A.	1000_empresas	9.0
900333530	CI COLOMBIAN NATURAL RESOURCES I SAS	1000_empresas	9.0
811014994	COMPANIA DE GALLETAS NOEL S.A.S.	1000_empresas	9.0
860513970	CI MILPA S.A.	1000_empresas	9.0
890400869	SURTIDORA DE GAS DEL CARIBE S.A. E.S.P.	1000_empresas	9.0
860003216	PRODUCTOS ROCHE.S.A	1000_empresas	9.0
800130426	GYJ FERRETERIAS S.A	1000_empresas	9.0
811030322	CELSIA S.A. E.S.P.	1000_empresas	9.0
860000996	RACAFE & CIA SCA	1000_empresas	9.0
830004993	CASA TORO S.A.	1000_empresas	9.0
900466209	PORSCHE COLOMBIA S.A.S.	1000_empresas	9.0
860025674	CARACOL TELEVISION S A	1000_empresas	9.0
860051812	Halliburton Latin America S.R.L. Sucursal Colombia	1000_empresas	9.0
800141770	CI ACEPALMA SA	1000_empresas	9.0
890900168	CERVECERIA UNION S.A	1000_empresas	9.0
890800718	SUCESORES DE JOSE JESUS RESTREPO & CIA. S.A. CASA LUKER S.A.	1000_empresas	9.0
900824185	HP COLOMBIA S.A.S	1000_empresas	9.0
800106339	COLMEDICA	1000_empresas	9.0
890903532	INDUSTRIA COLOMBIANA DE CAFE S.A.S.	1000_empresas	9.0
860058070	CONSTRUCTORA COLPATRIA SA	1000_empresas	9.0
830080672	CEPSA COLOMBIA S A	1000_empresas	9.0
800197463	POLLOS EL BUCANERO S.A.	1000_empresas	9.0
860525060	SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS  DE CAFICULTORES S A EXPOCAFE S.A.	1000_empresas	9.0
890301690	INGREDION COLOMBIA S.A	1000_empresas	9.0
900041914	Avon Colombia SAS	1000_empresas	9.0
830044266	DAIMLER COLOMBIA SA	1000_empresas	9.0
805009741	COOMEVA MEDICINA PREPAGADA S.A	1000_empresas	9.0
818000140	AMBUQ ARS	1000_empresas	9.0
800000946	Procter & Gamble Colombia LTDA	1000_empresas	9.0
890301960	CARVAJAL PULPA Y PAPEL S.A.	1000_empresas	9.0
890300431	CABLES DE ENERGIA Y DE TELECOMUNICACIONES S.A.	1000_empresas	9.0
890916911	INDUSTRIA COLOMBIANA DE MOTOCICLETAS YAMAHA S.A.	1000_empresas	9.0
890901672	CRYSTAL S.A.S.	1000_empresas	9.0
892300678	ETICOS SERRANO GOMEZ  LTDA	1000_empresas	9.0
800035776	NEXSYS DE COLOMBI S.A.S	1000_empresas	9.0
900023333	AMOV COLOMBIA S.A.	1000_empresas	9.0
860004922	PRODUCTOS NATURALES DE LA SABANA S.A.S.	1000_empresas	9.0
